MM;moves winner;time game;AB time;MM time;AB win;MM win;draws
1;4.0;26.5;8.5;0.0;10;0;0
2;9.3;68.8;9.9;0.0;8;2;0
3;5.1;35.9;8.6;0.5;10;0;0
4;16.6;225.0;11.3;2.7;5;4;1
5;13.6;448.9;14.7;25.2;6;4;0
6;18.1;2664.0;20.8;132.4;4;6;0
7;16.7;12807.8;15.7;753.6;0;10;0
