Winner;Moves;Time;P1 time;P2 time
2 ;12 ;2703 ;0 ;225 
2 ;10 ;1943 ;0 ;194 
2 ;10 ;1875 ;0 ;187 
2 ;20 ;1406 ;0 ;70 
2 ;11 ;2052 ;0 ;186 
2 ;10 ;1953 ;0 ;195 
2 ;14 ;1360 ;1 ;96 
2 ;10 ;1942 ;0 ;194 
2 ;19 ;3000 ;0 ;157 
2 ;10 ;1958 ;0 ;195 
-----------;------------
moves;12.6
times;2019.2
timeP1Move;0.1
timeP2Move;169.9
AlphaBeta;0
MinMax;10
draws;0
