MM;moves winner;time game;AB time;MM time;AB win;MM win;draws
1;6.6;8250.3;1707.0;0.0;10;0;0
2;11.9;21479.6;2042.1;0.0;10;0;0
3;7.4;16097.2;2892.5;0.4;10;0;0
4;20.4;37154.0;1897.1;2.5;2;0;8
5;12.6;35132.7;3829.1;26.2;7;3;0
6;16.5;34747.4;2013.4;125.8;9;1;0
7;15.6;58760.5;3223.8;1037.0;10;0;0
