MM;moves winner;time game;AB time;MM time;AB win;MM win;draws
1;4.0;10.9;3.5;0.0;10;0;0
2;6.6;23.5;3.3;0.5;8;2;0
3;8.2;28.1;3.9;0.3;10;0;0
4;16.5;131.3;4.9;3.0;8;2;0
5;11.7;383.3;2.6;31.9;6;4;0
6;14.6;2016.1;4.1;148.2;1;9;0
7;13.7;11849.7;6.4;924.4;0;10;0
