MM;moves winner;time game;AB time;MM time;AB win;MM win;draws
1;4.1;178.1;52.9;0.0;10;0;0
2;9.9;538.5;59.0;0.0;8;2;0
3;10.8;672.4;69.5;0.3;10;0;0
4;16.6;1002.6;65.5;2.7;8;2;0
5;16.3;1229.1;50.9;24.9;6;2;2
6;16.0;3029.0;61.1;152.0;4;6;0
7;16.2;13263.5;69.4;811.0;0;10;0
