MM;moves winner;time game;AB time;MM time;AB win;MM win;draws
1;4.1;1.5;0.5;0.0;10;0;0
2;17.8;12.5;0.3;0.0;6;3;1
3;6.5;9.4;0.8;1.0;9;1;0
4;17.0;54.7;0.1;2.5;0;8;2
5;16.4;320.3;0.3;20.6;5;5;0
6;15.0;1914.5;1.2;142.7;3;7;0
7;12.1;12216.8;2.1;1095.3;6;4;0
