MM;moves winner;time game;AB time;MM time;AB win;MM win;draws
1;4.0;0.0;0.0;0.0;10;0;0
2;13.9;3.1;0.0;0.0;5;2;3
3;8.7;6.2;0.2;0.0;7;3;0
4;11.9;57.8;0.1;4.1;0;10;0
5;18.0;408.4;0.1;22.1;0;10;0
6;12.8;1706.2;0.4;147.4;2;8;0
7;8.9;11646.5;0.0;1319.4;0;10;0
