MM;moves winner;time game;AB time;MM time;AB win;MM win;draws
1;4.3;0.0;0.0;0.0;10;0;0
2;11.7;1.6;0.0;0.1;5;5;0
3;10.2;6.2;0.0;0.6;5;5;0
4;17.1;50.0;0.1;2.7;6;1;3
5;16.4;358.3;0.0;22.7;4;5;1
6;12.6;2019.2;0.1;169.9;0;10;0
7;11.7;13179.0;0.0;1180.9;0;10;0
