depth;moves;time;P1 times;P2 times;p1 win;p2 win;draws
1;4.0;3.1;0.5;0.5;10;0;0
2;10.0;12.5;0.5;0.7;8;2;0
3;7.2;18.8;0.7;1.1;6;4;0
4;15.4;32.7;0.4;1.0;3;5;2
5;13.5;114.1;5.6;2.9;6;4;0
6;14.1;367.7;19.0;13.4;8;2;0
7;15.5;2198.9;100.3;54.2;3;7;0
8;17.9;3447.2;129.7;131.9;3;4;3
9;13.3;17960.9;920.1;525.1;6;4;0
10;18.9;55504.5;1843.1;1207.6;1;7;2
