Winner;Moves;Time;P1 time;P2 time
2 ;10 ;1130 ;0 ;113 
2 ;5 ;690 ;0 ;138 
2 ;4 ;640 ;0 ;160 
2 ;4 ;1225 ;0 ;306 
2 ;10 ;1335 ;0 ;133 
2 ;10 ;1225 ;0 ;122 
2 ;4 ;745 ;0 ;186 
2 ;4 ;1833 ;0 ;458 
2 ;10 ;1327 ;0 ;132 
2 ;5 ;770 ;0 ;154 
2 ;4 ;1330 ;0 ;332 
2 ;5 ;690 ;0 ;138 
2 ;10 ;1140 ;0 ;114 
2 ;4 ;630 ;0 ;157 
2 ;4 ;630 ;0 ;157 
2 ;5 ;695 ;0 ;139 
2 ;4 ;645 ;0 ;161 
2 ;4 ;1150 ;0 ;287 
2 ;4 ;920 ;0 ;230 
2 ;4 ;620 ;0 ;155 
-----------;------------
moves;5.7
times;968.5
timeP1Move;0.0
timeP2Move;188.6
NegaScout;0
AlphaBeta;20
draws;0
