depth;moves;time;P1 times;P2 times;p1 win;p2 win;draws
1;4.75;0.0;0.0;0.0;15;5;0
2;6.6;1.05;0.0;0.0;0;20;0
3;6.0;1.95;0.0;0.2;0;20;0
4;6.05;6.55;0.05;0.65;0;20;0
5;5.25;20.95;0.0;3.95;0;20;0
6;4.15;59.5;0.15;14.4;0;20;0
7;4.6;320.5;0.1;69.7;0;20;0
8;5.7;968.5;0.0;188.6;0;20;0
