depth;moves;time;P1 times;P2 times;p1 win;p2 win;draws
1;7.4;0.0;0.0;0.0;6;4;0
2;19.8;1.5;0.0;0.0;0;3;7
3;11.2;7.8;0.4;0.5;10;0;0
4;19.0;64.1;1.7;0.9;1;5;4
5;18.4;530.7;14.4;15.1;8;0;2
6;19.3;2897.8;75.3;81.5;5;1;4
7;18.3;18224.9;516.4;511.2;1;7;2
