Winner;Moves;Time;P1 time;P2 time
2 ;18 ;21713 ;638 ;603 
2 ;16 ;13260 ;409 ;445 
1 ;19 ;25353 ;705 ;703 
2 ;18 ;21682 ;637 ;602 
2 ;18 ;16999 ;489 ;482 
0 ;21 ;17661 ;436 ;425 
2 ;17 ;15187 ;453 ;466 
2 ;17 ;15172 ;457 ;462 
2 ;18 ;17562 ;503 ;500 
0 ;21 ;17660 ;437 ;424 
-----------;------------
moves;18.3
times;18224.9
timeP1Move;516.4
timeP2Move;511.2
MinMax;1
MinMax;7
draws;2
