depth;moves;time;P1 times;P2 times;p1 win;p2 win;draws
1;4.8;0.0;0.0;0.0;8;2;0
2;19.4;1.5;0.0;0.0;2;3;5
3;7.9;7.8;0.1;0.6;9;1;0
4;18.3;86.0;1.9;2.3;6;4;0
5;17.0;599.4;16.7;22.0;4;3;3
6;15.9;3962.9;119.6;144.4;0;9;1
7;17.6;27130.6;731.0;950.0;6;4;0
