Winner;Moves;Time;P1 time;P2 time
1 ;11 ;406 ;6 ;34 
2 ;12 ;378 ;2 ;28 
2 ;21 ;578 ;4 ;23 
2 ;12 ;328 ;2 ;24 
2 ;12 ;344 ;4 ;24 
2 ;9 ;328 ;5 ;31 
2 ;21 ;583 ;5 ;22 
2 ;18 ;547 ;6 ;24 
2 ;12 ;344 ;4 ;24 
2 ;9 ;328 ;0 ;36 
2 ;18 ;562 ;4 ;26 
2 ;9 ;328 ;0 ;36 
2 ;21 ;578 ;3 ;23 
1 ;11 ;375 ;1 ;35 
1 ;7 ;250 ;7 ;33 
2 ;18 ;563 ;6 ;25 
2 ;9 ;328 ;0 ;36 
2 ;9 ;328 ;6 ;31 
2 ;21 ;567 ;3 ;23 
1 ;7 ;250 ;5 ;36 
-----------;------------
moves;13.35
times;414.65
timeP1Move;3.65
timeP2Move;28.7
AlphaBeta;4
MinMax;16
draws;0
