Winner;Moves;Time;P1 time;P2 time
2 ;19 ;2250 ;6 ;112 
2 ;19 ;2235 ;6 ;111 
2 ;18 ;2349 ;24 ;107 
2 ;20 ;2625 ;22 ;109 
2 ;18 ;2677 ;25 ;124 
1 ;18 ;3818 ;25 ;198 
2 ;19 ;2250 ;8 ;110 
2 ;20 ;2630 ;20 ;111 
2 ;18 ;2359 ;23 ;108 
2 ;19 ;2239 ;9 ;108 
1 ;18 ;3266 ;21 ;170 
1 ;18 ;3255 ;18 ;173 
1 ;18 ;3271 ;22 ;170 
2 ;20 ;2625 ;21 ;111 
1 ;13 ;2364 ;20 ;176 
1 ;18 ;3406 ;20 ;180 
1 ;18 ;3302 ;20 ;173 
2 ;20 ;2625 ;20 ;111 
1 ;18 ;3255 ;22 ;169 
2 ;18 ;2349 ;25 ;106 
-----------;------------
moves;18.35
times;2757.5
timeP1Move;18.85
timeP2Move;136.85
AlphaBeta;8
MinMax;12
draws;0
