depth;moves;time;P1 times;P2 times;p1 win;p2 win;draws
1;4.0;0.0;0.0;0.0;10;0;0
2;10.3;1.5;0.0;0.1;7;3;0
3;6.1;3.1;0.1;0.0;9;1;0
4;18.8;37.5;0.4;0.9;3;3;4
5;14.0;126.6;4.3;4.1;3;7;0
6;16.9;599.0;17.5;17.9;4;6;0
7;14.8;1838.0;77.0;71.6;0;10;0
8;17.4;5062.8;143.3;147.8;4;4;2
9;14.2;26378.4;1051.8;1010.2;4;6;0
10;18.2;84924.2;2265.3;2494.1;1;9;0
