Winner;Moves;Time;P1 time;P2 time
1 ;11 ;375 ;32 ;4 
2 ;12 ;313 ;24 ;4 
1 ;11 ;390 ;33 ;6 
2 ;18 ;547 ;26 ;5 
1 ;11 ;380 ;33 ;4 
2 ;12 ;313 ;25 ;2 
2 ;21 ;593 ;23 ;5 
2 ;12 ;313 ;24 ;3 
2 ;18 ;547 ;23 ;7 
1 ;11 ;390 ;34 ;4 
2 ;9 ;313 ;35 ;3 
2 ;9 ;312 ;37 ;1 
2 ;9 ;313 ;35 ;3 
1 ;7 ;219 ;31 ;5 
2 ;18 ;546 ;25 ;6 
1 ;11 ;375 ;32 ;4 
2 ;12 ;313 ;24 ;3 
1 ;11 ;380 ;31 ;6 
1 ;11 ;390 ;35 ;3 
2 ;21 ;578 ;23 ;5 
-----------;------------
moves;12.75
times;395.0
timeP1Move;29.25
timeP2Move;4.15
MinMax;8
AlphaBeta;12
draws;0
