Winner;Moves;Time;P1 time;P2 time
2 ;19 ;2188 ;112 ;8 
1 ;12 ;2380 ;200 ;15 
1 ;18 ;3281 ;171 ;21 
2 ;19 ;2208 ;113 ;9 
1 ;12 ;2235 ;191 ;11 
2 ;18 ;2317 ;104 ;30 
2 ;18 ;2313 ;105 ;28 
2 ;17 ;2170 ;121 ;13 
2 ;20 ;2500 ;115 ;15 
2 ;20 ;2505 ;111 ;19 
2 ;18 ;2297 ;108 ;25 
1 ;12 ;2234 ;188 ;14 
2 ;20 ;2505 ;114 ;16 
2 ;19 ;2204 ;110 ;10 
1 ;13 ;2286 ;171 ;19 
2 ;19 ;2203 ;112 ;9 
2 ;20 ;2489 ;109 ;20 
1 ;12 ;2250 ;190 ;14 
1 ;18 ;3131 ;162 ;22 
1 ;12 ;2234 ;187 ;15 
-----------;------------
moves;16.8
times;2396.5
timeP1Move;139.7
timeP2Move;16.65
MinMax;8
AlphaBeta;12
draws;0
