depth;moves;time;P1 times;P2 times;p1 win;p2 win;draws
1;4.05;0.0;0.0;0.0;20;0;0
2;11.6;1.55;0.25;0.05;11;9;0
3;7.9;6.25;0.45;0.3;14;6;0
4;18.05;60.9;2.4;0.55;4;13;3
5;12.75;395.0;29.25;4.15;8;12;0
6;16.8;2396.5;139.7;16.65;8;12;0
7;17.25;14514.1;851.6;61.6;0;18;2
