Winner;Moves;Time;P1 time;P2 time
1 ;17 ;406 ;24 ;1 
1 ;17 ;396 ;23 ;1 
2 ;20 ;234 ;12 ;0 
1 ;13 ;313 ;24 ;1 
1 ;10 ;234 ;24 ;1 
2 ;20 ;203 ;9 ;0 
0 ;21 ;297 ;14 ;0 
2 ;20 ;188 ;9 ;0 
2 ;20 ;187 ;9 ;0 
2 ;15 ;328 ;23 ;0 
-----------;------------
moves;17.3
times;278.6
timeP1Move;17.1
timeP2Move;0.4
MinMax;4
AlphaBeta;5
draws;1
