AB;moves winner;time game;MM time;AB time;MM win;AB win;draws
1;4.0;3.1;1.0;0.0;10;0;0
2;8.6;3.2;0.1;0.0;7;1;2
3;7.1;6.2;0.6;0.2;5;5;0
4;15.6;15.6;0.5;0.3;2;8;0
5;14.8;46.9;0.1;2.5;6;4;0
6;13.0;128.6;0.4;9.4;2;8;0
7;10.6;494.3;0.3;43.6;0;10;0
8;13.6;1085.3;0.7;85.3;4;6;0
9;11.7;6424.7;0.4;537.1;0;10;0
10;10.6;21221.2;0.1;1850.6;0;10;0
