AB;moves winner;time game;MM time;AB time;MM win;AB win;draws
1;5.7;5122.8;1164.8;0.0;10;0;0
2;16.7;12512.6;840.4;0.0;6;1;3
3;6.2;6487.8;1224.7;0.5;10;0;0
4;11.2;11286.1;1123.2;0.5;9;0;1
5;10.7;11553.8;1289.7;1.1;10;0;0
6;17.6;12942.8;792.0;9.5;7;3;0
7;16.6;14151.5;891.6;30.0;1;9;0
8;16.1;12799.3;782.3;63.8;3;7;0
9;13.3;20703.6;1033.9;712.4;5;4;1
10;17.4;35542.0;767.7;1410.9;0;9;1
