AB;moves winner;time game;MM time;AB time;MM win;AB win;draws
1;4.4;9.4;2.5;0.0;10;0;0
2;17.9;37.5;1.7;0.0;10;0;0
3;9.6;21.8;1.8;0.1;8;1;1
4;13.7;37.5;2.5;0.1;3;6;1
5;18.9;92.2;2.4;2.0;2;8;0
6;16.7;192.5;3.2;7.9;2;5;3
7;11.8;818.8;5.0;65.7;0;10;0
8;17.8;1248.4;2.0;73.7;4;4;2
9;14.2;5602.5;3.7;394.0;0;10;0
10;13.0;19191.4;2.8;1409.8;2;8;0
