AB;moves winner;time game;MM time;AB time;MM win;AB win;draws
1;4.0;558.3;186.0;0.0;10;0;0
2;7.1;910.4;163.4;0.0;10;0;0
3;7.7;1058.8;169.1;0.0;10;0;0
4;15.8;1732.8;126.2;0.6;8;2;0
5;14.9;2205.7;158.4;2.5;10;0;0
6;17.7;2507.2;142.3;9.3;8;2;0
7;16.9;2636.9;135.3;34.0;4;5;1
8;18.7;3711.8;131.2;79.0;3;4;3
9;17.4;7064.9;139.0;295.3;2;4;4
10;18.0;36901.6;155.6;1829.3;0;6;4
